Category,Sentence
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǃNani went to Cape Town.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǁXui School starts January 12.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",He works at ǁkx’ao Health Center.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nǃang ǀxoa met Sarah.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǁKx’a ǁkx’ao ǀxoa Johannesburg.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Chief ǀHūi speaks today.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǁ’an ǁkx’ao 12 April 2023.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǀXoa of San Council met.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ǁXoma visited ǁkx’ao Museum.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",They joined ǀxae Alliance.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ǁXoma makes me happy.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tca ǁkx’a makes me happy.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),I don’t like ǁnani food.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ǁKxʼao ǃhara ha ke.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tzī ǃkerri ǀxoa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ǃKerri is the best!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),I fear ǁkxʼao ǁnani.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke ǃkerri tzī.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nǃang ǀxoa is sad.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke tzī doesn’t make sense.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǁXoma tzī. / Tzī ke ǁxoma.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǃNa ke ǁnani. / ǁNani tca ǃna.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǁxui ǁkxʼao ke. / Ke ǁkxʼao ǁxui.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǁKxʼao tzī ǀxoa. / ǀxoa tzī ǁkxʼao.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke nǃang ǁxui. / ǁxui ha ke nǃang.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǁXoma ke ǃhara. / ǃHara ke ǁxoma.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tzī ke ǃnona. / ǃNona ke tzī.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǃNa ǀxoa ke. / Ke ǀxoa ǃna.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǀXa ǁnani tca. / ǁNani tca ǀxa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ǁXoma ha ǁkxʼao. / ǁKxʼao ha ǁxoma.
