Category,Sentence_Chewa
Named Entity Recognition (NER),Ndinaona a Grace ku hospitali.
Named Entity Recognition (NER),"Masiku ano, UNICEF ikuthandiza kwambiri."
Named Entity Recognition (NER),Nthambi ya WHO ili ku Area 43.
Named Entity Recognition (NER),Tidzapita ku Nkhata Bay sabata yamawa.
Named Entity Recognition (NER),Peter ndi mphunzitsi ku Chancellor College.
Named Entity Recognition (NER),Kusukulu kwa Mtendere kuli ophunzira 500.
Sentiment Analysis Data,Ndikukondwa kwambiri lero.
Sentiment Analysis Data,Sindinkasangalala ndi chisankhocho.
Sentiment Analysis Data,Mavuto akuchuluka tsiku ndi tsiku.
Sentiment Analysis Data,Zikomo kwambiri chifukwa chothandiza.
Sentiment Analysis Data,Ndikumva chisoni kwambiri.
Sentiment Analysis Data,Ndili ndi nkhawa za mawa.
Sentiment Analysis Data,Ndasangalala kukumana nanu.
Sentiment Analysis Data,Sindimakonda zimenezo.
Sentiment Analysis Data,Zinthu zili bwino kwambiri.
Sentiment Analysis Data,Zinthu sizikuyenda bwino.
Paraphrased & Augmented Sentences,Ndapita ku msika.
Paraphrased & Augmented Sentences,Ndinapita ku msika lero m'mawa.
Paraphrased & Augmented Sentences,"Lero m'mawa, ndinayenda kupita ku msika."
Paraphrased & Augmented Sentences,Ndakhala ndikuyenda kupita ku msika.
Paraphrased & Augmented Sentences,Msika ndi komwe ndinapita lero.
Paraphrased & Augmented Sentences,Sindinapite kwina kupatula ku msika.
Paraphrased & Augmented Sentences,Ndapita kumene ku msika.
Paraphrased & Augmented Sentences,Msika unali komwe ndinapita.
Paraphrased & Augmented Sentences,Nthawi yanga yambiri ndimapitira ku msika.
Paraphrased & Augmented Sentences,Ndinapita ku msika n’kubwerera nthawi yomweyo.
