Category,Sentence (Asturian)
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuándo ye’l to cumpleaños? - En xunu.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Dóndes naciste? - En Uviéu.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Quién ta na puerta? - Nun sé, pero voy abrir."
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Puedo ayudar? - Sí, por favor."
Question-Answer Pairs (FAQ & Contextual Understanding),¿Qué tal ta la comida? - Ta deliciosa.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Por qué nun vienes? - Tengo munchu trabayu.
Commands & Instructions (Imperative Sentences),"Cierra la ventana, por favor."
Commands & Instructions (Imperative Sentences),Nun escribas tan rápido.
Commands & Instructions (Imperative Sentences),Fai los deberes antes de salir.
Commands & Instructions (Imperative Sentences),Tráime un café si puedes.
Commands & Instructions (Imperative Sentences),Nun molestes a los demás.
Commands & Instructions (Imperative Sentences),Respeta les normes de la casa.
Commands & Instructions (Imperative Sentences),Llámame cuando llegues.
Commands & Instructions (Imperative Sentences),Guarda los papeles nel archivu.
Commands & Instructions (Imperative Sentences),Lava les manes antes de comer.
Commands & Instructions (Imperative Sentences),Nun uses el móvil na clase.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",María ta estudiando en Uviéu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",El Festival de Cine de Xixón ye famosu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Miguel Ángel trabaya pa Google.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",El sábadu vamo a visitar Covadonga.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",La sidra ye la bebida tradicional d’Asturies.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",El Príncipe d’Asturies ta en visita oficial.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L’aeropuertu d’Asturies ta en Castrillón.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",La empresa Inditex tien sede en Galicia.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",San Xuan celébrase’l 24 de xunu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",El riu Nalón ye’l más llargu d’Asturies.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Toi mui contentu colos resultaos.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Esto ye bien decepcionante.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Encántame esti llugar.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ye horrible lo que pasó.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Tienes razón, ye una gran idea."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Esto ye un desastre.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Qué maravilla de día.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nun puedo creer lo que vi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ye frustrante nun poder faelo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Esto ye lo meyor que vi n’hai tiempu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nun me presta salir cuando llueve.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Cuando llueve, nun me gusta salir."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Güei fai sol, el día ta guapu."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),El día ta guapu güei porque fai sol.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Los neños xueguen nel parque.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Nel parque, los neños tán xugando."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tien sed porque nun bebió agua.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nun bebió agua y tien sed.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Voy mercar pan antes de comer.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Antes de comer, voy mercar pan."
