Category,Georgian_Sentence
Commands & Instructions,"გთხოვ, ტემპერატურა შეამოწმე."
Commands & Instructions,დავალება შესრულებული უნდა იყოს ხვალამდე.
Commands & Instructions,ფაილი სერვერზე ატვირთე.
Commands & Instructions,"გთხოვ, დარეკე ამ ნომერზე."
Commands & Instructions,მისამართი სწორად დაწერე.
Named Entity Recognition (NER) Data,გიორგი ბაქოში წავიდა.
Named Entity Recognition (NER) Data,თბილისი საქართველოს დედაქალაქია.
Named Entity Recognition (NER) Data,Microsoft-მა ახალი პროდუქტი გამოუშვა.
Named Entity Recognition (NER) Data,შეკრება გაიმართება პარასკევს.
Named Entity Recognition (NER) Data,ქართული ენა ძალიან მდიდარია.
Named Entity Recognition (NER) Data,ევროპის ჩემპიონატი იწყება ზაფხულში.
Named Entity Recognition (NER) Data,ნინო მუშაობს ბანკში.
Named Entity Recognition (NER) Data,სამხრეთ ამერიკა მრავალფეროვანია.
Named Entity Recognition (NER) Data,Google-მა ახალი AI გამოუშვა.
Named Entity Recognition (NER) Data,მთავრობა ეკონომიკურ რეფორმებს განიხილავს.
Sentiment Analysis Data,ეს რესტორანი საუკეთესოა!
Sentiment Analysis Data,არ მომეწონა გუშინდელი ფილმი.
Sentiment Analysis Data,დღეს ძალიან ბედნიერი ვარ!
Sentiment Analysis Data,ეს პროდუქტი არ არის საკმარისად კარგი.
Sentiment Analysis Data,ძალიან ვაფასებ თქვენს დახმარებას.
Sentiment Analysis Data,ეს იყო საშინელი გამოცდილება.
Sentiment Analysis Data,დღეს ძალიან დაღლილი ვარ.
Sentiment Analysis Data,საუკეთესო დღე ჩემს ცხოვრებაში!
Sentiment Analysis Data,მინდა უკეთესი სერვისი.
Sentiment Analysis Data,მომწონს ეს მუსიკა!
Paraphrased & Augmented Sentences,თბილისი დიდი ქალაქია.
Paraphrased & Augmented Sentences,საქართველოს დედაქალაქია თბილისი.
Paraphrased & Augmented Sentences,თბილისი არის დიდი და ლამაზი ქალაქი.
Paraphrased & Augmented Sentences,თბილისი მდებარეობს საქართველოში.
Paraphrased & Augmented Sentences,მე ვცხოვრობ თბილისში.
Paraphrased & Augmented Sentences,თბილისი ძალიან პოპულარული ქალაქია.
Paraphrased & Augmented Sentences,ბევრი ადამიანი ცხოვრობს თბილისში.
Paraphrased & Augmented Sentences,თბილისში ტურისტები ხშირად მოდიან.
Paraphrased & Augmented Sentences,საქართველოში საუკეთესო ქალაქი თბილისია.
Paraphrased & Augmented Sentences,თბილისი კულტურული ცენტრია.
