Category,Tajik Sentence
Question-Answer Pairs (FAQ & Contextual Understanding),"Шумо таҷриба доред? — Бале, 3 сол."
Question-Answer Pairs (FAQ & Contextual Understanding),Ин кор чӣ фоида дорад? — Беҳтаршавии саводи рақамӣ.
Question-Answer Pairs (FAQ & Contextual Understanding),Мо кай вохӯрем? — Соати шаши шом.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ба ман лозим аст, ки чӣ биёрам? — Шиноснома ва ҳуҷҷатҳои таҳсилӣ."
Commands & Instructions (Imperative Sentences),Лутфан дарро пӯшед.
Commands & Instructions (Imperative Sentences),Ба ман кӯмак кунед.
Commands & Instructions (Imperative Sentences),Мобилиатонро хомӯш намоед.
Commands & Instructions (Imperative Sentences),Формаи зеринро пур кунед.
Commands & Instructions (Imperative Sentences),Ба савол ҷавоб диҳед.
Commands & Instructions (Imperative Sentences),Қадам ба қадам амал намоед.
Commands & Instructions (Imperative Sentences),Ҳисоботро то пагоҳ пешниҳод кунед.
Commands & Instructions (Imperative Sentences),Ба сурат ҳисоб пардохт намоед.
Commands & Instructions (Imperative Sentences),Тугмаи сабзро пахш кунед.
Commands & Instructions (Imperative Sentences),Файли заруриро бор кунед.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Имрӯз Эмомалӣ Раҳмон дар Душанбе суханронӣ кард.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Конференсия дар Донишгоҳи Миллии Тоҷикистон баргузор мешавад.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Маҳфили адабӣ рӯзи 25-уми март баргузор хоҳад шуд.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ширкати 'Сомон Эйр' парвозҳои нав илова кард.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Муаллими ман, Маъруф, дар Файзобод зистааст."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ҷоми ҷаҳон соли 2022 дар Қатар гузаронида шуд.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ҳукумати Тоҷикистон нақшаи рушди минтақаро эълон кард.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Бонки Миллии Тоҷикистон ҳисобот пешниҳод намуд.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Моҳшанбе, 1-уми апрел, рӯзи таътил аст."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Маҷлиси порлумон дар Кохи Миллат баргузор гардид.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ман аз ин филм бисёр лаззат бурдам.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ин хидматрасонӣ тамоман ноумедкунанда буд.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ман фикр мекунам, ки шумо кори хуб анҷом додед."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Меҳмонхона тоза ва бароҳат буд.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Аҷиб, ки чӣ қадар зуд корҳо ҳал шуданд."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ман хафа шудам, ки онҳо ҷавоб надоданд."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Бисёр ғамгин шудам, вақте шунидам."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ин беҳтарин таҷриба буд.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ман намефаҳмам, чаро чунин рафтор карданд."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Хурсанд ҳастам, ки ҳама чиз хуб шуд."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ман имрӯз корро ба итмом расондам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Имрӯз ман корҳои кориро анҷом додам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ман имрӯз вазифаҳоро иҷро кардам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Имрӯз ман тамоми корро ба анҷом расондам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ҳама вазифаҳо имрӯз тамом шуданд.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ман имрӯз ҳамаи корҳоро ба охир расондам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Имрӯз ҳама корҳо пурра иҷро гардиданд.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ман корро имрӯз анҷом додам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Имрӯз ман бо корҳо тамом кардам.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Корҳои имрӯзаро ба анҷом расондам.
