Category,Southern Sotho Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ho bohlokoa hore mokuli a fumane phekolo ka potlako.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Re lokela ho etsa lipuisano le barekisi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Patlisiso ena e bontša diphetho tse ntle.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",U memetsoe sebokeng sa khoebo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ka kopo, tlatsa foromo ena ka botlalo."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Liphetho li tla hlahisoa bekeng e tlang.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngaka o hloka lintlha tse eketsehileng ka lefu lena.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Komiti e tla etsa qeto hosane.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Re hloka moemeli ea nang le boiphihlelo.
"Idioms, Proverbs & Cultural Expressions",Ho itima lijo ho bolaea tlala.
"Idioms, Proverbs & Cultural Expressions",Ngwana o tsoaloa ke sejo.
"Idioms, Proverbs & Cultural Expressions",Tau liatla ha li hlole.
"Idioms, Proverbs & Cultural Expressions",Mosali o tšoaroa ka lerato.
"Idioms, Proverbs & Cultural Expressions",Leleme le thata ho feta sabole.
"Idioms, Proverbs & Cultural Expressions",Tlhōlo e tsoa ho sebete.
"Idioms, Proverbs & Cultural Expressions",Lefu le sa bolelloeng le bolaea ka potlako.
"Idioms, Proverbs & Cultural Expressions",Monna ke nku ha a lle.
"Idioms, Proverbs & Cultural Expressions",Ha ho mohla letsatsi le sa chabe.
"Idioms, Proverbs & Cultural Expressions",Thupa e otlolloa e sa le metsi.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: O ea kae? A: Ke ea lebenkeleng.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: U bitsa mang? A: Ke bitsa Mma Mpho.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ho etsahalang ha pula e na? A: Re lula ka tlung.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: U batla thuso ka eng? A: Ke batla ho ithuta Sesotho.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Ke letsatsi lefe kajeno? A: Ke Labone.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: U lula kae? A: Ke lula Maseru.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: O ratang ho ja eng? A: Ke rata nama le likhoho.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Bana ba kae? A: Ba babeli.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Hobaneng u sa bue? A: Ke khutsitse feela.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Na ho chesa? A: Ee, ho chesa haholo kajeno."
Commands & Instructions (Imperative Sentences),Koala monyako.
Commands & Instructions (Imperative Sentences),Bulela lebone.
Commands & Instructions (Imperative Sentences),Kena ka hare.
Commands & Instructions (Imperative Sentences),Tšoara buka ka hloko.
Commands & Instructions (Imperative Sentences),Bala temana ena hape.
Commands & Instructions (Imperative Sentences),Etsa mosebetsi oa hao.
Commands & Instructions (Imperative Sentences),Se ke oa tlohela mohlala.
Commands & Instructions (Imperative Sentences),Itokisetse thuto.
Commands & Instructions (Imperative Sentences),Mo thuse ho hloekisa.
Commands & Instructions (Imperative Sentences),Tšoarela batho ba bang.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mpho o sebetsa Johannesburg.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Re tla ea Khotla ka Labohlano.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ngaka Mokoena o tlile kajeno.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lenaneo la UNESCO le qalile.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Litsebi tsa UN li fihlile Lesotho.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bana ba ithuta ho St. James Primary.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tseleng ea Roma ho ne ho na le koloi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Thuto e qalile ka la 15 Phato.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Letona la tsa Bophelo le bua hosane.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bo-rakhoebo ba Lesotho ba kopane.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke thabile haholo kajeno.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),O nyahame ka lebaka la mosebetsi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Lijo tsena li monate haholo!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke hloname ke utloile litaba.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke ikutloa ke khotsofetse.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Seo e ne e le ketsahalo e bohloko.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ho makatsa kamoo a tsitsitseng kateng.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke ikutloa ke jeoa ke masoabi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Monate o fetang mantsoe!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ha ke rate mokhoa oo a buang ka oona.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kea u bona.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),U a bonahala ho nna.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke bone sefahleho sa hau.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ha ke lebeletse, kea u bona."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),U haufi le nna.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ha ke tjheseletse mahlo, kea u bona."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),U shebahala joalo ka motsoalle oa ka.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke bone motho ea tšoanang le uena.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke shebile uena feela.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),U se ntse u le teng.
