Category,Sentence (Bhojpuri)
Question-Answer Pairs,"का रउरा के हेल्प चाहीं? | हँ, बहुत जरूरी बा।"
Question-Answer Pairs,"का रउरा खुश बानी? | हँ, हम बहुत खुश बानी।"
Question-Answer Pairs,रउरा का सोचतानी? | हम कुछ नया प्लान करत बानी।
Question-Answer Pairs,"हमरो साथे चलीं? | हाँ, जरूर।"
Commands & Instructions,दरवाजा खोल द।
Commands & Instructions,जल्दी आव।
Commands & Instructions,फोन उठाईं।
Commands & Instructions,ई किताब पढ़ी।
Commands & Instructions,आवाज धीरे कर।
Commands & Instructions,गाड़ी धीरे चलाईं।
Commands & Instructions,बिजली बुझा दीं।
Commands & Instructions,हमरा के एक ग्लास पानी द।
Commands & Instructions,एहिजा बैठीं।
Commands & Instructions,सिधा देखीं।
Named Entity Recognition (NER) Data,मोहन आज स्कूल ना गइल।
Named Entity Recognition (NER) Data,दिल्ली भारत के राजधानी बा।
Named Entity Recognition (NER) Data,रवि ५ बजे आवे वाला बा।
Named Entity Recognition (NER) Data,गंगा नदी बहुत पवित्र बा।
Named Entity Recognition (NER) Data,आमिर खान के नयका फिल्म शानदार बा।
Named Entity Recognition (NER) Data,होली मार्च में मनावल जाला।
Named Entity Recognition (NER) Data,टाटा कंपनी भारत में बहुते प्रसिद्ध बा।
Named Entity Recognition (NER) Data,लंदन यूरोप में बा।
Named Entity Recognition (NER) Data,बिहार के भोज बहुत प्रसिद्ध बा।
Named Entity Recognition (NER) Data,ई समाचार बीबीसी पर छपल बा।
Sentiment Analysis Data,आज बहुत खुशी के दिन बा!
Sentiment Analysis Data,हमरा बहुते गुस्सा आ रहल बा।
Sentiment Analysis Data,ऊ आदमी बहुत अच्छा बा।
Sentiment Analysis Data,आज बहुते थाकल महसूस करत बानी।
Sentiment Analysis Data,ई गाना बहुते सुन्दर बा!
Sentiment Analysis Data,एह खबर से मन खराब हो गइल।
Sentiment Analysis Data,हमरा काजल से मिलके बहुत मजा आइल।
Sentiment Analysis Data,ऊ बात से मन दुखी हो गइल।
Sentiment Analysis Data,एह फिल्म से बहुते हँसी आ रहल बा!
Sentiment Analysis Data,आज के दिन बहुते खास बा।
Paraphrased & Augmented Sentences,हम काल्हु बजार गइल रहलीं।
Paraphrased & Augmented Sentences,उ हमरा से पहिले पहुँचल रहल।
Paraphrased & Augmented Sentences,"अगर बरखा होई, त हम घर में रहीब।"
Paraphrased & Augmented Sentences,रउरा चिठ्ठी भेजब कि फोन करी?
Paraphrased & Augmented Sentences,"जब हम छोट रहलीं, त हम रोज़ एहिजा आवत रहीं।"
Paraphrased & Augmented Sentences,तोहरे किताब टेबल पर बा।
Paraphrased & Augmented Sentences,हमनी के सिनेमा देखब कि खेलब?
Paraphrased & Augmented Sentences,ओकरा के देखल ना गइल।
Paraphrased & Augmented Sentences,का रउरा हमरा मदद करी?
Paraphrased & Augmented Sentences,"अगर समय मिलल, त हम अइब।"
