Category,Khmer_Sentence
Commands & Instructions (Imperative Sentences),សូមផ្អាកការជជែក។
Commands & Instructions (Imperative Sentences),សូមសរសេរពាក្យថ្មីទាំង១០ក្នុងសៀវភៅរបស់អ្នក។
Commands & Instructions (Imperative Sentences),សូមមកជួបខ្ញុំនៅម៉ោង៣ល្ងាច។
Commands & Instructions (Imperative Sentences),កុំចូលទៅក្នុងបន្ទប់នោះ។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",លោកសម រង្ស៊ីបានថ្លែងសុន្ទរកថានៅវេនទី២។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ខ្ញុំកើតនៅថ្ងៃទី១ ខែមករា ឆ្នាំ១៩៩៥។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ក្រុមហ៊ុន Cellcard បានបើកដំណើរការដោយជោគជ័យ។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",អ្នកនាងសុខ ស្រីនាងជា​លោកវិចិត្រករម្នាក់។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ខ្ញុំធ្វើដំណើរទៅសៀមរាបអំឡុងឈប់សម្រាក។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",សាលារៀនប៊ុនរឿនមានសិស្សជាង ១០០០នាក់។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ក្រសួងអប់រំបានបញ្ចេញសេចក្ដីប្រកាសថ្មី។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ទីក្រុងប៉ារីសគឺជារាជធានីប្រទេសបារាំង។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ក្រុមការងារបានជួបគ្នានៅមន្ទីរព័ត៌មាន។
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",អ្នកកាសែត John Doe បានធ្វើការសម្ភាសន៍។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំសប្បាយចិត្តណាស់ដែលបានជួបអ្នក។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំសោកស្តាយចំពោះអ្វីដែលបានកើតឡើង។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),អាហារនេះឆ្ងាញ់ខ្លាំងណាស់។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំមិនពេញចិត្តនឹងសេវាកម្មនៅទីនោះទេ។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំមានអារម្មណ៍ថាខ្ញុំត្រូវបានរំលោភ។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ភាពយន្តនេះគួរឱ្យចាប់អារម្មណ៍ខ្លាំងណាស់។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំអស្ចារ្យចំពោះការបង្ហាញរបស់គាត់។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ខ្ញុំស្ទើរតែមិនអាចទ្រាំបានទៀតទេ។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),គាត់ប្រៀបដូចជាមនុស្សមិនអាចទុកចិត្តបាន។
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ការរីកចម្រើននេះធ្វើឲ្យខ្ញុំមានក្តីសង្ឃឹម។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំចង់ទៅផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំមានបំណងទៅទីផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំនឹងធ្វើដំណើរទៅទីផ្សារព្រឹកនេះ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំនឹកឃើញថាត្រូវទៅផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំត្រូវទៅទិញអីវ៉ាន់នៅផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំគ្រោងទៅផ្សារស្អែក។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំគិតថាគួរតែទៅផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំចង់រកអីវ៉ាន់មួយនៅផ្សារ។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំចង់ទៅស្វែងរកអាហារថ្ងៃត្រង់។
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ខ្ញុំនឹងទៅផ្សារដោយមិនខាន។
