Category,Sentence_Aranese
Named Entity Recognition,Es Jòcs Olimpics se celebraràn en París en 2024.
Named Entity Recognition,Era montanha deth Montardo ei fòrça populara.
Named Entity Recognition,Eth roman 'Era ombra deth vent' ei plan coneishut.
Named Entity Recognition,Amazon a inaugurat un nau centre logistic.
Named Entity Recognition,Eth 14 de julhet ei era hèsta nacionau en França.
Sentiment Analysis Data,Aué ei un dia fantastic!
Sentiment Analysis Data,Sò fòrça content per aguesta notícia.
Sentiment Analysis Data,Aguest restaurant a estat un desastre.
Sentiment Analysis Data,M’agrade fòrça era tua idèa!
Sentiment Analysis Data,Non compreni per qué hès aguesta causa.
Sentiment Analysis Data,Senti nostalgia quan pensi en eth passat.
Sentiment Analysis Data,Era musica d’aguest film ei emocionanta.
Sentiment Analysis Data,Quin malur! Auem perdut eth partit.
Sentiment Analysis Data,Sò fòrça entusiasmat per viatjar a Itàlia.
Sentiment Analysis Data,Aguest libre m’a hèt plorar.
Paraphrased & Augmented Sentences,Era nèu a cubèrt tota era val.
Paraphrased & Augmented Sentences,Eth paissatge aué ei totalaments blanc per causa dera nèu.
Paraphrased & Augmented Sentences,Aguest libre ei fòrça interessant.
Paraphrased & Augmented Sentences,Eth contengut d’aguest libre ei fòrça captivant.
Paraphrased & Augmented Sentences,Jo non sabi çò que cau hèr.
Paraphrased & Augmented Sentences,Non è cap idèa sus çò que cau hèr.
Paraphrased & Augmented Sentences,Eth can ei fòrça amistós.
Paraphrased & Augmented Sentences,Aguest gos ei fòrça simpatic.
Paraphrased & Augmented Sentences,Non vòli anar ath cinèma aué.
Paraphrased & Augmented Sentences,Aué non me b’agradarie anar a veir un film.
