Category,Hawaiian Sentence
"Formal & Professional Speech (Business, Legal, Medical, Technical)","E nā hoa hana, e hoʻomaka ana kākou i ka hālāwai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ke hāʻawi nei au i ka hōʻike e pili ana i kā mākou papahana hou.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E hoʻomaopopo i nā lula o ka hui ma mua o kou hoʻomaka ʻana.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",He mea koʻikoʻi ka mālama ʻana i ka palekana o ka ʻikepili.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ke noi aku nei mākou i kou kōkua no ka noiʻi hou.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E hui kākou i ka lumi hālāwai i ka hola ʻelua.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","E ʻoluʻolu, e hoʻouna mai i kāu hōʻike ma mua o ka lā palena."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ke aʻo nei au i ka ʻoihana a me ka hoʻokele waiwai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E nānā i ke kūlana o kā mākou papahana ma ka papa kuhikuhi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ua hoʻopaʻa inoa au no ka papa kōnane i kēia makahiki.
"Idioms, Proverbs & Cultural Expressions",E hele me ka maloʻo o ka ʻili.
"Idioms, Proverbs & Cultural Expressions",ʻAʻohe hana nui ke alu ʻia.
"Idioms, Proverbs & Cultural Expressions","O ke kahua ma mua, ma hope ke kūkulu."
"Idioms, Proverbs & Cultural Expressions","He aliʻi ka ʻāina, he kauā ke kanaka."
"Idioms, Proverbs & Cultural Expressions",Ua lawa mākou i ka pōhaku e paʻa ai ka hale.
"Idioms, Proverbs & Cultural Expressions",E pū paʻakai kākou.
"Idioms, Proverbs & Cultural Expressions","Mai makaʻu i ka hana, makaʻu i ka noho wale."
"Idioms, Proverbs & Cultural Expressions",E nānā i ka lau o ka niu.
"Idioms, Proverbs & Cultural Expressions",Ua lawa ka ʻike i ke kumu lāʻau.
"Idioms, Proverbs & Cultural Expressions",He pua kalaunu ʻoe i waena o nā pua pākīpika.
Question-Answer Pairs (FAQ & Contextual Understanding),Pehea ʻoe i kēia lā?
Question-Answer Pairs (FAQ & Contextual Understanding),Ehia mau makahiki ou?
Question-Answer Pairs (FAQ & Contextual Understanding),Aia i hea ke hale kūʻai?
Question-Answer Pairs (FAQ & Contextual Understanding),Pehea e hiki ai au i ke kahua mokulele?
Question-Answer Pairs (FAQ & Contextual Understanding),He aha kāu hana punahele?
Question-Answer Pairs (FAQ & Contextual Understanding),He aha ka mea ʻono loa āu i ʻai ai?
Question-Answer Pairs (FAQ & Contextual Understanding),Ke makemake nei ʻoe i kahi mea kōkua?
Question-Answer Pairs (FAQ & Contextual Understanding),Ua hele ʻoe i ke kula i nehinei?
Question-Answer Pairs (FAQ & Contextual Understanding),He aha kāu manaʻo e pili ana i kēia kumuhana?
Question-Answer Pairs (FAQ & Contextual Understanding),Pehea ke anilā i kēia lā?
Commands & Instructions (Imperative Sentences),E noho ma ʻaneʻi.
Commands & Instructions (Imperative Sentences),E wehe i ka puka.
Commands & Instructions (Imperative Sentences),E hana i kāu haʻawina.
Commands & Instructions (Imperative Sentences),E hoʻolohe i ke kumu.
Commands & Instructions (Imperative Sentences),E heluhelu i kēia puke.
Commands & Instructions (Imperative Sentences),E hele mai i ʻaneʻi.
Commands & Instructions (Imperative Sentences),E hāpai i kou lima.
Commands & Instructions (Imperative Sentences),E pani i ka puka aniani.
Commands & Instructions (Imperative Sentences),E waiho i kāu mau mea ma ke pākaukau.
Commands & Instructions (Imperative Sentences),E hoʻokani i ka mele.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua hele ʻo Keoni i Honolulu i nehinei.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aia ʻo Lani ma Maui i kēia manawa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",E kipa ana mākou i ke kahua mokulele o Hilo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua hānau ʻia ʻo Pua ma Lāhainā.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",E nānā ana au i ka hoʻolaha hou mai ke Keʻena ʻĀpau.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua ʻike ʻia ka hālāwai ma ka Hale Kūʻai Nui.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ke hoʻokipa nei ʻo Kimo i ka luna mai ka ʻOihana Mākaʻikaʻi.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",E mālama ana mākou i ka hoʻolauleʻa ma ka Lānai o Waikīkī.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua kūʻai mai au i kekahi mea mai ka hale kūʻai o Kekaulike.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ke nānā nei au i ka moʻolelo o Liliʻuokalani.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua hauʻoli loa au i kēia lā!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E kaumaha ana au no ka nūhou.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),He mea maikaʻi loa kēia hana.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua huhū au i ka hopena.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E haʻo ana au iā ʻoe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua lilo kēia i mea weliweli.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua nui koʻu mahalo iā ʻoe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),He mea hoʻonāukiuki kēia!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ke manaʻo nei au he mea ʻoluʻolu kēia.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua hauʻoli loa au e ʻike iā ʻoe hou.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),E hele mai ʻoe i ʻaneʻi. → Eia ʻoe e hele mai.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua maikaʻi kēia. → He mea maikaʻi kēia.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke makemake nei au i ka meaʻai. → Makemake au e ʻai i kēia.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua hele ʻo ia i ke kula. → Aia ʻo ia i ke kula.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua nui ka hana i kēia lā. → He nui kaʻu hana i kēia lā.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ke hiamoe nei au. → Ke makemake nei au e hiamoe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),E nānā i kēia mea. → E ʻike i kēia mea.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),E kipa mai i ka hale. → E hele mai i koʻu hale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),E kamaʻilio kākou. → E ʻōlelo kākou.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua mākaukau au. → Ua ho‘omākaukau wau.
