Category,Sentence (Mirandese)
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La seguranza laboral he una prioridá de la empresa.
"Idioms, Proverbs & Cultural Expressions",Nun he touro que nun empreste la sua somra.
"Idioms, Proverbs & Cultural Expressions","Quién nun trabalha, nun come."
"Idioms, Proverbs & Cultural Expressions",Nun tires la agua fora de la bacia.
"Idioms, Proverbs & Cultural Expressions",Más val un pássaru na mão que dous na árbole.
"Idioms, Proverbs & Cultural Expressions",A casa nun se fé nun dia.
"Idioms, Proverbs & Cultural Expressions","Quien semea ventu, recoge tormenta."
"Idioms, Proverbs & Cultural Expressions",Nun he oro tou lo que brilha.
"Idioms, Proverbs & Cultural Expressions","Camiñante, nun hai caminho; el caminho faise al andari."
"Idioms, Proverbs & Cultural Expressions",Nun se pode ter sol y chuba al mesmo tiempo.
"Idioms, Proverbs & Cultural Expressions","Quien bien sembrar, bien cosechará."
Question-Answer Pairs (FAQ & Contextual Understanding),Qué día he güei? - Güei he lunes.
Question-Answer Pairs (FAQ & Contextual Understanding),Ónde fica la biblioteca? - Fica perto de la praça.
Question-Answer Pairs (FAQ & Contextual Understanding),Qual he la tua comida preferida? - Gosto de sopas.
Question-Answer Pairs (FAQ & Contextual Understanding),Cómo se diz 'hello' en Mirandés? - Diz-se 'ola'.
Question-Answer Pairs (FAQ & Contextual Understanding),Quantos anos tienes? - Tengo vinti y cinco.
Question-Answer Pairs (FAQ & Contextual Understanding),Qué tiempo faz güei? - Está sol y faz calor.
Question-Answer Pairs (FAQ & Contextual Understanding),"Quem he el presidente d'este país? - Nun sei, precisas pesquisar."
Question-Answer Pairs (FAQ & Contextual Understanding),Cómo posso llegar al hospital? - Precisas virar a la derecha.
Question-Answer Pairs (FAQ & Contextual Understanding),Por qué estudas Mirandés? - Porque me interesa la cultura.
Question-Answer Pairs (FAQ & Contextual Understanding),"He difícil aprender Mirandés? - Nun he tanto, con prática he fácil."
Commands & Instructions (Imperative Sentences),Abre la porta.
Commands & Instructions (Imperative Sentences),Nun toques isto.
Commands & Instructions (Imperative Sentences),Fala mais alto.
Commands & Instructions (Imperative Sentences),Escreve el teu nome aquì.
Commands & Instructions (Imperative Sentences),Nun olvides la chave.
Commands & Instructions (Imperative Sentences),Lava las mãos antes de comer.
Commands & Instructions (Imperative Sentences),"Fecha la janela, faz frio."
Commands & Instructions (Imperative Sentences),Lê esti livro pa manhã.
Commands & Instructions (Imperative Sentences),Nun corras en la escola.
Commands & Instructions (Imperative Sentences),Presta atenção al profesor.
Named Entity Recognition (NER) Data,Maria vive en Miranda do Douro.
Named Entity Recognition (NER) Data,Lisboa he la capital de Portugal.
Named Entity Recognition (NER) Data,La empresa Google tien muitas oficinas.
Named Entity Recognition (NER) Data,El Nadal he celebrado el 25 de dezembro.
Named Entity Recognition (NER) Data,Amazon he una tienda online famosa.
Named Entity Recognition (NER) Data,El Douro he un rio muy conhecidu.
Named Entity Recognition (NER) Data,La ONU he una organizaçon internacional.
Named Entity Recognition (NER) Data,Paris he uma bela cidade.
Named Entity Recognition (NER) Data,Cristiano Ronaldo he un futbolista.
Named Entity Recognition (NER) Data,NASA investiga el espaciu.
Sentiment Analysis Data,Estou muito feliz güei!
Sentiment Analysis Data,"Nun gostei d'aquel filme, foi aburrido."
Sentiment Analysis Data,Teno saudade de la mia família.
Sentiment Analysis Data,Aquel día foi el millor de la mia vida.
Sentiment Analysis Data,Estou frustrado con la situació.
Sentiment Analysis Data,Qué alegria recibir el teu mensaje!
Sentiment Analysis Data,Nun posso crer que ficaste triste con isso.
Sentiment Analysis Data,Que surpresa tão buena!
Sentiment Analysis Data,Fiquei muy nervoso durante la entrevista.
Sentiment Analysis Data,Estou emocionado por ver-te outra vegada!
Paraphrased & Augmented Sentences,La mia casa he grande. - Teno una casa grande.
Paraphrased & Augmented Sentences,Ele estudiou pa l'exame. - Ele preparou-se pa l'exame.
Paraphrased & Augmented Sentences,Aquel coche he azul. - El vehículo he de color azul.
Paraphrased & Augmented Sentences,Vou a la escuela todos los días. - Todos los días vou estudar.
Paraphrased & Augmented Sentences,Estoy cansado. - Sinto-me exausto.
Paraphrased & Augmented Sentences,Gosto de chocolate. - Chocolate he la mia comida preferida.
Paraphrased & Augmented Sentences,Havia muita gente en la rua. - La rua tava chea de personas.
Paraphrased & Augmented Sentences,Nun he facil aprender línguas. - Aprender línguas pode ser desafiante.
Paraphrased & Augmented Sentences,Fiz el traballo. - Terminei la tarea.
Paraphrased & Augmented Sentences,Estava muy frío güei. - La temperatura estiva baixa güei.
