Category,Sentence_Swahili
Named Entity Recognition (NER) Data,Shule ya St. Mary's ipo Dar es Salaam.
Named Entity Recognition (NER) Data,Eneo la Kilimanjaro lina mlima mrefu zaidi Afrika.
Named Entity Recognition (NER) Data,Jina langu ni Amina na ninaishi Zanzibar.
Sentiment Analysis Data,Nimefurahi sana leo!
Sentiment Analysis Data,Siku yangu ilikuwa ya huzuni mno.
Sentiment Analysis Data,Napenda sana kushinda muda na marafiki.
Sentiment Analysis Data,Sijaridhika na huduma uliyotoa.
Sentiment Analysis Data,Hii ni bidhaa bora niliyowahi kutumia!
Sentiment Analysis Data,Nina wasiwasi kuhusu kesho.
Sentiment Analysis Data,Najuta kufanya uamuzi huo.
Sentiment Analysis Data,Kazi yako ni ya kushangaza!
Sentiment Analysis Data,Ninafurahia huduma bora za kampuni hii.
Sentiment Analysis Data,Nimechoka sana leo.
Paraphrased & Augmented Sentences,Kesho nitapika chakula kitamu.
Paraphrased & Augmented Sentences,Nitaandaa mlo mzuri kesho.
Paraphrased & Augmented Sentences,Leo hali ya hewa ni baridi.
Paraphrased & Augmented Sentences,Siku ya leo kuna upepo mkali.
Paraphrased & Augmented Sentences,Ninakunywa chai asubuhi.
Paraphrased & Augmented Sentences,Kila asubuhi ninakunywa kikombe cha chai.
Paraphrased & Augmented Sentences,Unapenda kusoma vitabu gani?
Paraphrased & Augmented Sentences,Vitabu vipi unavipenda kusoma?
Paraphrased & Augmented Sentences,Simu yangu imeisha chaji.
Paraphrased & Augmented Sentences,Betri ya simu yangu imeisha nguvu.
