Category,Sentence (Vietnamese)
Question-Answer Pairs (FAQ & Contextual Understanding),Câu hỏi: Mấy giờ thì ngân hàng mở cửa? Trả lời: Ngân hàng mở cửa lúc 8 giờ sáng.
Question-Answer Pairs (FAQ & Contextual Understanding),"Câu hỏi: Làm thế nào để nấu phở bò? Trả lời: Bạn cần thịt bò, bánh phở, và nước dùng."
Question-Answer Pairs (FAQ & Contextual Understanding),Câu hỏi: Khi nào là kỳ nghỉ Tết Nguyên Đán? Trả lời: Thường rơi vào tháng 1 hoặc tháng 2.
Question-Answer Pairs (FAQ & Contextual Understanding),Câu hỏi: Bạn có thể giới thiệu một quán ăn ngon không? Trả lời: Bạn có thể thử quán Ngon 79.
Question-Answer Pairs (FAQ & Contextual Understanding),"Câu hỏi: Cách sử dụng máy giặt này là gì? Trả lời: Hãy đặt quần áo vào, thêm bột giặt, và bấm nút."
Question-Answer Pairs (FAQ & Contextual Understanding),Câu hỏi: Ai là tác giả của truyện Kiều? Trả lời: Nguyễn Du.
Question-Answer Pairs (FAQ & Contextual Understanding),"Câu hỏi: Bạn có thể giúp tôi với bài tập toán này không? Trả lời: Được, bạn cần giúp phần nào?"
Question-Answer Pairs (FAQ & Contextual Understanding),"Câu hỏi: Món ăn nào là đặc sản của Hà Nội? Trả lời: Phở bò, bún chả, và bánh cuốn."
Question-Answer Pairs (FAQ & Contextual Understanding),"Câu hỏi: Máy tính này có thể chạy phần mềm Photoshop không? Trả lời: Có, nếu RAM đủ lớn."
Question-Answer Pairs (FAQ & Contextual Understanding),Câu hỏi: Làm thế nào để tôi đến chợ Bến Thành? Trả lời: Bạn có thể đi taxi hoặc xe buýt.
Commands & Instructions (Imperative Sentences),Bật đèn lên giúp tôi.
Commands & Instructions (Imperative Sentences),Hãy đóng cửa lại khi bạn ra ngoài.
Commands & Instructions (Imperative Sentences),Đừng quên gọi điện cho mẹ nhé.
Commands & Instructions (Imperative Sentences),Làm ơn mang giúp tôi một ly nước.
Commands & Instructions (Imperative Sentences),Vui lòng điền thông tin vào biểu mẫu này.
Commands & Instructions (Imperative Sentences),Hãy đọc kỹ hướng dẫn trước khi sử dụng.
Commands & Instructions (Imperative Sentences),Đặt vé tàu đi Hà Nội cho tôi.
Commands & Instructions (Imperative Sentences),Giúp tôi tìm một quán cà phê gần đây.
Commands & Instructions (Imperative Sentences),"Tắt nhạc đi, tôi cần tập trung."
Commands & Instructions (Imperative Sentences),Mang bưu kiện này đến bưu điện.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Hôm nay là ngày 20 tháng 10, Ngày Phụ nữ Việt Nam."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nguyễn Du là tác giả của Truyện Kiều.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Công ty VinFast đang sản xuất ô tô điện.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Hà Nội là thủ đô của Việt Nam.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Sông Mekong chảy qua nhiều quốc gia Đông Nam Á.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Thế vận hội Olympic năm 2024 sẽ tổ chức tại Paris.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Việt Nam có 63 tỉnh thành.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Công viên quốc gia Cát Tiên là khu bảo tồn thiên nhiên nổi tiếng.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Samsung có nhiều nhà máy tại Việt Nam.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ngày Quốc khánh Việt Nam là 2 tháng 9.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Hôm nay tôi cảm thấy rất vui vì nhận được quà.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bài thuyết trình của tôi làm mọi người rất hài lòng.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tôi thấy buồn khi mất con chó của mình.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nhìn trời mưa suốt thế này mà chán quá.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Anh ấy giận dữ khi bị mất điện thoại.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bà tôi luôn rất hạnh phúc khi thấy cháu về thăm.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tôi thấy lo lắng trước kỳ thi ngày mai.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Bạn ấy rất hào hứng về chuyến du lịch sắp tới.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tôi thấy tiếc vì đã không nói lời cảm ơn.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Thực sự bực mình khi bị kẹt xe hàng giờ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tôi đã mua một chiếc điện thoại mới. => Tôi vừa sắm một smartphone mới.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Hôm nay trời mưa rất to. => Trời đổ mưa xối xả hôm nay.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Cô ấy rất thông minh và nhanh nhẹn. => Cô ấy nhanh trí và cực kỳ lanh lợi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Chúng ta nên đến sớm để lấy chỗ ngồi tốt. => Hãy đến trước để chọn vị trí đẹp.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Cuốn sách này rất thú vị và hữu ích. => Quyển sách này hấp dẫn và có nhiều thông tin bổ ích.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Anh ấy làm việc chăm chỉ mỗi ngày. => Ngày nào anh ấy cũng miệt mài với công việc.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Chuyến đi vừa rồi thực sự đáng nhớ. => Hành trình đó thực sự không thể quên.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tôi thích ăn phở hơn cơm. => Tôi chuộng phở hơn cơm.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bạn có thể giúp tôi một chút không? => Bạn có thể hỗ trợ tôi một lát không?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Thời tiết hôm nay đẹp quá! => Hôm nay trời tuyệt vời!
